Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ak,10237096,2,"Thursday, May 19, 2011 21:56:25 UTC",63.5452,-150.0378,2.1,141.90,28,"Central Alaska"
nc,71572385,2,"Thursday, May 19, 2011 21:20:49 UTC",37.4485,-119.1117,1.3,17.80,14,"Central California"
nn,00337911,7,"Thursday, May 19, 2011 21:20:15 UTC",37.7487,-118.1313,1.6,6.10, 5,"Nevada"
us,c0003j7s,5,"Thursday, May 19, 2011 21:12:52 UTC",39.0981,29.0853,4.3,8.40,33,"western Turkey"
us,c0003j7w,4,"Thursday, May 19, 2011 21:07:10 UTC",-58.0192,-25.9125,4.9,119.60,33,"South Sandwich Islands region"
ci,14988028,0,"Thursday, May 19, 2011 21:01:31 UTC",33.8283,-117.1188,1.8,20.80,12,"Southern California"
nn,00337906,7,"Thursday, May 19, 2011 21:00:12 UTC",37.1617,-117.3808,3.4,14.30,13,"Nevada"
ak,10237072,2,"Thursday, May 19, 2011 20:46:05 UTC",63.2477,-151.8245,1.2,2.80, 9,"Central Alaska"
nc,71572365,4,"Thursday, May 19, 2011 20:43:32 UTC",35.8037,-121.3525,1.3,4.00,14,"Central California"
us,c0003j5z,8,"Thursday, May 19, 2011 20:39:03 UTC",34.3666,23.7986,4.9,27.20,126,"Crete, Greece"
ci,14988004,2,"Thursday, May 19, 2011 20:32:51 UTC",33.0192,-115.5428,2.1,14.40,46,"Southern California"
nc,71572360,2,"Thursday, May 19, 2011 20:26:34 UTC",36.5587,-121.1537,1.2,6.80,15,"Central California"
ak,10237058,2,"Thursday, May 19, 2011 20:26:34 UTC",59.9266,-141.5062,2.8,7.60,32,"Southeastern Alaska"
ci,14987988,3,"Thursday, May 19, 2011 20:23:11 UTC",32.4428,-118.1790,2.7,4.70,12,"off the coast of California"
ci,14987972,2,"Thursday, May 19, 2011 20:17:42 UTC",34.2283,-117.0552,1.0,2.90,22,"Southern California"
us,c0003j4a,C,"Thursday, May 19, 2011 20:15:24 UTC",39.1370,29.0736,5.8,9.10,412,"western Turkey"
nc,71572350,2,"Thursday, May 19, 2011 19:51:57 UTC",38.7888,-122.7488,1.0,2.30,30,"Northern California"
pr,11139003,0,"Thursday, May 19, 2011 19:49:35 UTC",18.0569,-66.5110,1.6,17.00, 4,"Puerto Rico"
ak,10237713,2,"Thursday, May 19, 2011 19:43:53 UTC",51.2465,179.9146,2.6,47.00, 9,"Rat Islands, Aleutian Islands, Alaska"
ak,10237712,2,"Thursday, May 19, 2011 19:40:06 UTC",63.1339,-150.7290,1.2,116.80,11,"Central Alaska"
ci,14987892,2,"Thursday, May 19, 2011 18:57:23 UTC",33.9585,-116.6492,1.1,15.40,43,"Southern California"
nn,00337887,7,"Thursday, May 19, 2011 18:48:48 UTC",37.3143,-117.1243,1.4,6.90,18,"Nevada"
nc,71572300,2,"Thursday, May 19, 2011 18:40:59 UTC",35.5677,-120.7927,1.2,4.90,28,"Central California"
ak,10237034,2,"Thursday, May 19, 2011 18:40:46 UTC",62.2799,-150.9703,1.8,70.00,27,"Central Alaska"
ci,14987876,6,"Thursday, May 19, 2011 18:26:48 UTC",34.3415,-116.8890,1.3,0.00,31,"Southern California"
ci,14987868,2,"Thursday, May 19, 2011 18:13:18 UTC",32.6275,-115.7367,1.3,4.60,18,"Baja California, Mexico"
nn,00337869,7,"Thursday, May 19, 2011 18:05:44 UTC",38.4213,-118.7340,1.4,7.30,10,"Nevada"
hv,60236431,1,"Thursday, May 19, 2011 17:55:56 UTC",19.2035,-155.5217,1.8,35.30,29,"Island of Hawaii, Hawaii"
nn,00337859,7,"Thursday, May 19, 2011 17:37:25 UTC",38.4123,-118.7408,1.2,5.20,13,"Nevada"
ak,10237004,2,"Thursday, May 19, 2011 17:32:53 UTC",64.7475,-148.0458,1.1,11.40,12,"Central Alaska"
nn,00337857,7,"Thursday, May 19, 2011 17:32:29 UTC",38.4158,-118.7407,1.8,5.20,16,"Nevada"
nn,00337856,7,"Thursday, May 19, 2011 17:30:25 UTC",38.4193,-118.7398,2.4,5.10,31,"Nevada"
nn,00337854,7,"Thursday, May 19, 2011 17:23:50 UTC",38.4156,-118.7418,3.3,2.40,22,"Nevada"
nm,051911c,A,"Thursday, May 19, 2011 17:12:25 UTC",35.3091,-92.3170,2.4,5.10,10,"Arkansas"
ak,10236991,2,"Thursday, May 19, 2011 17:06:02 UTC",60.4027,-141.3708,1.2,10.20,14,"Southern Alaska"
us,c0003iy2,7,"Thursday, May 19, 2011 17:05:11 UTC",-34.7055,-71.5152,5.2,45.60,213,"Libertador General Bernardo O'Higgins, Chile"
ci,14987836,3,"Thursday, May 19, 2011 16:43:20 UTC",34.6753,-116.3405,1.4,3.70,17,"Southern California"
ak,10237707,2,"Thursday, May 19, 2011 16:35:51 UTC",61.6127,-150.3125,1.5,50.30,15,"Southern Alaska"
nc,71572215,3,"Thursday, May 19, 2011 16:29:25 UTC",38.8102,-122.7960,1.5,3.50,46,"Northern California"
ak,10236972,2,"Thursday, May 19, 2011 16:28:14 UTC",54.6738,-161.0851,2.9,9.50,20,"Alaska Peninsula"
uw,05191623,1,"Thursday, May 19, 2011 16:23:01 UTC",46.0154,-122.4445,1.5,1.00, 6,"Washington"
ak,10236966,3,"Thursday, May 19, 2011 16:10:18 UTC",54.0132,-164.5705,2.1,66.10,13,"Unimak Island region, Alaska"
ci,14987828,2,"Thursday, May 19, 2011 16:05:44 UTC",33.5020,-116.4270,1.1,10.60,34,"Southern California"
nn,00337848,7,"Thursday, May 19, 2011 16:04:43 UTC",38.2446,-116.8391,1.5,0.00, 5,"Nevada"
uw,05191543,1,"Thursday, May 19, 2011 15:43:27 UTC",48.0420,-121.9410,1.8,17.30,24,"Puget Sound region, Washington"
